Age,G,J_max,Active Areas
Y,0.2,0.21,0.0
Y,0.22,0.21,0.0
Y,0.24,0.21,0.0
Y,0.26,0.21,0.0
Y,0.28,0.21,0.0
Y,0.3,0.21,0.0
Y,0.32,0.21,0.0
Y,0.34,0.21,0.0
Y,0.36,0.21,0.0
Y,0.38,0.21,0.0
Y,0.4,0.21,0.0
Y,0.42,0.21,0.0
Y,0.44,0.21,0.0
Y,0.46,0.21,0.0
Y,0.48,0.21,0.0
Y,0.5,0.21,0.0
Y,0.2,0.22,0.0
Y,0.22,0.22,0.0
Y,0.24,0.22,0.0
Y,0.26,0.22,0.0
Y,0.28,0.22,0.0
Y,0.3,0.22,0.0
Y,0.32,0.22,0.0
Y,0.34,0.22,0.0
Y,0.36,0.22,0.0
Y,0.38,0.22,0.0
Y,0.4,0.22,0.0
Y,0.42,0.22,0.0
Y,0.44,0.22,0.0
Y,0.46,0.22,0.0
Y,0.48,0.22,0.0
Y,0.5,0.22,0.0
Y,0.2,0.23,0.0
Y,0.22,0.23,0.0
Y,0.24,0.23,0.0
Y,0.26,0.23,0.0
Y,0.28,0.23,0.0
Y,0.3,0.23,0.0
Y,0.32,0.23,0.0
Y,0.34,0.23,0.0
Y,0.36,0.23,0.0
Y,0.38,0.23,0.0
Y,0.4,0.23,0.0
Y,0.42,0.23,0.0
Y,0.44,0.23,0.0
Y,0.46,0.23,0.0
Y,0.48,0.23,0.0
Y,0.5,0.23,17.0
Y,0.2,0.24,0.0
Y,0.22,0.24,0.0
Y,0.24,0.24,0.0
Y,0.26,0.24,0.0
Y,0.28,0.24,0.0
Y,0.3,0.24,0.0
Y,0.32,0.24,0.0
Y,0.34,0.24,0.0
Y,0.36,0.24,0.0
Y,0.38,0.24,0.0
Y,0.4,0.24,0.0
Y,0.42,0.24,0.0
Y,0.44,0.24,0.0
Y,0.46,0.24,0.0
Y,0.48,0.24,0.03
Y,0.5,0.24,18.0
Y,0.2,0.25,0.0
Y,0.22,0.25,0.0
Y,0.24,0.25,0.0
Y,0.26,0.25,0.0
Y,0.28,0.25,0.0
Y,0.3,0.25,0.0
Y,0.32,0.25,0.0
Y,0.34,0.25,0.0
Y,0.36,0.25,0.0
Y,0.38,0.25,0.0
Y,0.4,0.25,0.0
Y,0.42,0.25,0.0
Y,0.44,0.25,0.0
Y,0.46,0.25,0.0
Y,0.48,0.25,18.0
Y,0.5,0.25,19.01
Y,0.2,0.26,0.0
Y,0.22,0.26,0.0
Y,0.24,0.26,0.0
Y,0.26,0.26,0.0
Y,0.28,0.26,0.0
Y,0.3,0.26,0.0
Y,0.32,0.26,0.0
Y,0.34,0.26,0.0
Y,0.36,0.26,0.0
